No,First Name,Other Names,Full Name,DOB,Day of Birth,Month of Birth,Year of Birth,Age,Position,Nationality,International Caps,International Goals,Club,League,Club Country
195,Connor,Roberts,"Roberts, Connor",23-Sep-95,23,September,1995,27,DF,Wales,41,3,Burnley,English Premier League,England
196,Ethan,Ampadu,"Ampadu, Ethan",14-Sep-00,14,September,2000,22,DF,Wales,37,0,Spezia,Italian Serie A,Italy
197,Joe,Morrell,"Morrell, Joe",3-Jan-97,3,January,1997,25,MF,Wales,30,0,Portsmouth,English League One,England
198,Tom,Lockyer,"Lockyer, Tom",3-Dec-94,3,December,1994,27,DF,Wales,14,0,Luton Town,English League Championship,England
199,Jonny,Williams,"Williams, Jonny",9-Oct-93,9,October,1993,29,MF,Wales,33,2,Swindon Town,English League Two,England
200,Mark,Harris,"Harris, Mark",29-Dec-98,29,December,1998,23,FW,Wales,5,0,Cardiff City,English League Championship,Wales
201,Daniel,James,"James, Daniel",10-Nov-97,10,November,1997,25,FW,Wales,38,5,Fulham,English League Championship,England
202,Adam,Davies,"Davies, Adam",17-Jul-92,17,July,1992,30,GK,Wales,4,0,Sheffield United,English League Championship,England
203,Sorba,Thomas,"Thomas, Sorba",25-Jan-99,25,January,1999,23,MF,Wales,6,0,Huddersfield Town,English League Championship,England
204,Dylan,Levitt,"Levitt, Dylan",17-Nov-00,17,November,2000,22,MF,Wales,13,0,Dundee United,Scottish Premiership,Scotland
205,Ben,Cabango,"Cabango, Ben",30-May-00,30,May,2000,22,DF,Wales,5,0,Swansea City,English League Championship,Wales
206,Rubin,Colwill,"Colwill, Rubin",27-Apr-02,27,April,2002,20,MF,Wales,7,1,Cardiff City,English League Championship,Wales
207,Matthew,Smith,"Smith, Matthew",22-Nov-99,22,November,1999,23,MF,Wales,19,0,Milton Keynes Dons,English League One,England
208,Franco,Armani,"Armani, Franco",16-Oct-86,16,October,1986,36,GK,Argentina,18,0,River Plate,Argentina Primera División,Argentina
209,Juan,Foyth,"Foyth, Juan",12-Jan-98,12,January,1998,24,DF,Argentina,16,0,Villarreal,Spain Primera Division,Spain
210,Nicolas,Tagliafico,"Tagliafico, Nicolas",31-Aug-92,31,August,1992,30,DF,Argentina,42,0,Lyon,French Ligue 1,France
211,Gonzalo,Montiel,"Montiel, Gonzalo",1-Jan-97,1,January,1997,25,DF,Argentina,18,0,Sevilla,Spain Primera Division,Spain
212,Leandro,Paredes,"Paredes, Leandro",29-Jun-94,29,June,1994,28,MF,Argentina,46,4,Juventus,Italian Serie A,Italy
213,German,Pezzella,"Pezzella, German",27-Jun-91,27,June,1991,31,DF,Argentina,32,2,Real Betis,Spain Primera Division,Spain
214,Rodrigo,De Paul,"De Paul, Rodrigo",24-May-94,24,May,1994,28,MF,Argentina,44,2,Atlético Madrid,Spain Primera Division,Spain
215,Marcos,Acuna,"Acuna, Marcos",28-Oct-91,28,October,1991,31,MF,Argentina,43,0,Sevilla,Spain Primera Division,Spain
216,Julian,Alvarez,"Alvarez, Julian",31-Jan-00,31,January,2000,22,FW,Argentina,12,3,Manchester City,English Premier League,England
217,Lionel,Messi,"Messi, Lionel",24-Jun-87,24,June,1987,35,FW,Argentina,165,91,Paris Saint-Germain,French Ligue 1,France
218,Angel,Di Maria,"Di Maria, Angel",14-Feb-88,14,February,1988,34,FW,Argentina,124,27,Juventus,Italian Serie A,Italy
219,Geronimo,Rulli,"Rulli, Geronimo",20-May-92,20,May,1992,30,GK,Argentina,4,0,Villarreal,Spain Primera Division,Spain
220,Cristian,Romero,"Romero, Cristian",27-Apr-98,27,April,1998,24,DF,Argentina,12,1,Tottenham Hotspur,English Premier League,England
221,Exequiel,Palacios,"Palacios, Exequiel",5-Oct-98,5,October,1998,24,MF,Argentina,20,0,Bayer Leverkusen,German 1. Bundesliga,Germany
222,Angel,Correa,"Correa, Angel",9-Mar-95,9,March,1995,27,FW,Argentina,22,3,Atlético Madrid,Spain Primera Division,Spain
223,Thiago,Almada,"Almada, Thiago",26-Apr-01,26,April,2001,21,MF,Argentina,1,0,Atlanta United FC,USA Major League Soccer,United States
224,Papu,Gomez,"Gomez, Papu",15-Feb-88,15,February,1988,34,MF,Argentina,15,3,Sevilla,Spain Primera Division,Spain
225,Guido,Rodriguez,"Rodriguez, Guido",12-Apr-94,12,April,1994,28,MF,Argentina,26,1,Real Betis,Spain Primera Division,Spain
226,Nicolas,Otamendi,"Otamendi, Nicolas",12-Feb-88,12,February,1988,34,DF,Argentina,93,4,Benfica,Portuguese Liga ZON SAGRES,Portugal
227,Alexis,Mac Allister,"Mac Allister, Alexis",24-Dec-98,24,December,1998,23,MF,Argentina,8,0,Brighton & Hove Albion,English Premier League,England
228,Paulo,Dybala,"Dybala, Paulo",15-Nov-93,15,November,1993,29,FW,Argentina,34,3,Roma,Italian Serie A,Italy
229,Lautaro,Martinez,"Martinez, Lautaro",22-Aug-97,22,August,1997,25,FW,Argentina,40,21,Internazionale,Italian Serie A,Italy
230,Emiliano,Martinez,"Martinez, Emiliano",2-Sep-92,2,September,1992,30,GK,Argentina,19,0,Aston Villa,English Premier League,England
231,Enzo,Fernandez,"Fernandez, Enzo",17-Jan-01,17,January,2001,21,MF,Argentina,3,0,Benfica,Portuguese Liga ZON SAGRES,Portugal
232,Lisandro,Martinez,"Martinez, Lisandro",18-Jan-98,18,January,1998,24,DF,Argentina,10,0,Manchester United,English Premier League,England
233,Nahuel,Molina,"Molina, Nahuel",6-Apr-98,6,April,1998,24,DF,Argentina,20,0,Atlético Madrid,Spain Primera Division,Spain
234,Alfredo,Talavera,"Talavera, Alfredo",18-Sep-82,18,September,1982,40,GK,Mexico,40,0,Juárez,Mexican Liga MX,Mexico
235,Nestor,Araujo,"Araujo, Nestor",29-Aug-91,29,August,1991,31,DF,Mexico,63,3,América,Mexican Liga MX,Mexico
236,Cesar,Montes,"Montes, Cesar",24-Feb-97,24,February,1997,25,DF,Mexico,30,1,Monterrey,Mexican Liga MX,Mexico
237,Edson,Alvarez,"Alvarez, Edson",24-Oct-97,24,October,1997,25,DF,Mexico,58,3,Ajax,Holland Eredivisie,Netherlands
238,Johan,Vasquez,"Vasquez, Johan",22-Oct-98,22,October,1998,24,DF,Mexico,7,0,Cremonese,Italian Serie A,Italy
239,Gerardo,Arteaga,"Arteaga, Gerardo",7-Sep-98,7,September,1998,24,DF,Mexico,17,1,Genk,Belgian Jupiler Pro League,Belgium
240,Luis,Romo,"Romo, Luis",5-Jun-95,5,June,1995,27,MF,Mexico,27,1,Monterrey,Mexican Liga MX,Mexico
241,Carlos,Rodriguez,"Rodriguez, Carlos",3-Jan-97,3,January,1997,25,MF,Mexico,36,0,Cruz Azul,Mexican Liga MX,Mexico
242,Raul,Jimenez,"Jimenez, Raul",5-May-91,5,May,1991,31,FW,Mexico,95,29,Wolverhampton Wanderers,English Premier League,England
243,Alexis,Vega,"Vega, Alexis",25-Nov-97,25,November,1997,25,FW,Mexico,22,6,Guadalajara,Mexican Liga MX,Mexico
244,Rogelio,Funes Mori,"Funes Mori, Rogelio",5-Mar-91,5,March,1991,31,FW,Mexico,16,6,Monterrey,Mexican Liga MX,Mexico
245,Rodolfo,Cota,"Cota, Rodolfo",3-Jul-87,3,July,1987,35,GK,Mexico,8,0,León,Mexican Liga MX,Mexico
246,Guillermo,Ochoa,"Ochoa, Guillermo",13-Jul-85,13,July,1985,37,GK,Mexico,131,0,América,Mexican Liga MX,Mexico
247,Erick,Gutierrez,"Gutierrez, Erick",15-Jun-95,15,June,1995,27,MF,Mexico,34,1,PSV Eindhoven,Holland Eredivisie,Netherlands
248,Hector,Moreno,"Moreno, Hector",17-Jan-88,17,January,1988,34,DF,Mexico,128,5,Monterrey,Mexican Liga MX,Mexico
249,Hector,Herrera,"Herrera, Hector",19-Apr-90,19,April,1990,32,MF,Mexico,102,10,Houston Dynamo FC,USA Major League Soccer,United States
250,Orbelin,Pineda,"Pineda, Orbelin",24-Mar-96,24,March,1996,26,FW,Mexico,50,6,AEK Athens,Greek Super League,Greece
251,Andres,Guardado,"Guardado, Andres",28-Sep-86,28,September,1986,36,MF,Mexico,178,28,Real Betis,Spain Primera Division,Spain
252,Jorge,Sanchez,"Sanchez, Jorge",10-Dec-97,10,December,1997,24,DF,Mexico,26,1,Ajax,Holland Eredivisie,Netherlands
253,Henry,Martin,"Martin, Henry",18-Nov-92,18,November,1992,30,FW,Mexico,27,6,América,Mexican Liga MX,Mexico
254,Uriel,Antuna,"Antuna, Uriel",21-Aug-97,21,August,1997,25,FW,Mexico,36,9,Cruz Azul,Mexican Liga MX,Mexico
255,Hirving,Lozano,"Lozano, Hirving",30-Jul-95,30,July,1995,27,FW,Mexico,60,16,Napoli,Italian Serie A,Italy
256,Jesus,Gallardo,"Gallardo, Jesus",15-Aug-94,15,August,1994,28,DF,Mexico,78,1,Monterrey,Mexican Liga MX,Mexico
257,Luis,Chavez,"Chavez, Luis",15-Jan-96,15,January,1996,26,MF,Mexico,9,0,Pachuca,Mexican Liga MX,Mexico
258,Roberto,Alvarado,"Alvarado, Roberto",7-Sep-98,7,September,1998,24,FW,Mexico,31,4,Guadalajara,Mexican Liga MX,Mexico
259,Kevin,Alvarez,"Alvarez, Kevin",15-Jan-99,15,January,1999,23,DF,Mexico,8,0,Pachuca,Mexican Liga MX,Mexico
260,Wojciech,Szczesny,"Szczesny, Wojciech",18-Apr-90,18,April,1990,32,GK,Poland,66,0,Juventus,Italian Serie A,Italy
261,Matty,Cash,"Cash, Matty",7-Aug-97,7,August,1997,25,DF,Poland,7,1,Aston Villa,English Premier League,England
262,Artur,Jedrzejczyk,"Jedrzejczyk, Artur",4-Nov-87,4,November,1987,35,DF,Poland,40,3,Legia Warsaw,Polish T-Mobile Ekstraklasa,Poland
263,Mateusz,Wieteska,"Wieteska, Mateusz",11-Feb-97,11,February,1997,25,DF,Poland,2,0,Clermont,French Ligue 1,France
264,Jan,Bednarek,"Bednarek, Jan",12-Apr-96,12,April,1996,26,DF,Poland,45,1,Aston Villa,English Premier League,England
265,Krystian,Bielik,"Bielik, Krystian",4-Jan-98,4,January,1998,24,MF,Poland,5,0,Birmingham City,English League Championship,England
266,Arkadiusz,Milik,"Milik, Arkadiusz",28-Feb-94,28,February,1994,28,FW,Poland,64,16,Juventus,Italian Serie A,Italy
267,Damian,Szymanski,"Szymanski, Damian",16-Jun-95,16,June,1995,27,MF,Poland,9,1,AEK Athens,Greek Super League,Greece
268,Robert,Lewandowski,"Lewandowski, Robert",21-Aug-88,21,August,1988,34,FW,Poland,134,76,Barcelona,Spain Primera Division,Spain
269,Grzegorz,Krychowiak,"Krychowiak, Grzegorz",29-Jan-90,29,January,1990,32,MF,Poland,94,5,Al-Shabab,UAE Pro League,Saudi Arabia
270,Kamil,Grosicki,"Grosicki, Kamil",8-Jun-88,8,June,1988,34,MF,Poland,87,17,Pogoń Szczecin,Polish T-Mobile Ekstraklasa,Poland
271,Lukasz,Skorupski,"Skorupski, Lukasz",5-May-91,5,May,1991,31,GK,Poland,8,0,Bologna,Italian Serie A,Italy
272,Jakub,Kaminski,"Kaminski, Jakub",5-Jun-02,5,June,2002,20,MF,Poland,4,1,VfL Wolfsburg,German 1. Bundesliga,Germany
273,Jakub,Kiwior,"Kiwior, Jakub",15-Feb-00,15,February,2000,22,DF,Poland,5,0,Spezia,Italian Serie A,Italy
274,Kamil,Glik,"Glik, Kamil",3-Feb-88,3,February,1988,34,DF,Poland,99,6,Benevento,Italian Serie B,Italy
275,Karol,Swiderski,"Swiderski, Karol",23-Jan-97,23,January,1997,25,FW,Poland,18,8,Charlotte FC,USA Major League Soccer,United States
276,Szymon,Zurkowski,"Zurkowski, Szymon",25-Sep-97,25,September,1997,25,MF,Poland,7,0,Fiorentina,Italian Serie A,Italy
277,Bartosz,Bereszynski,"Bereszynski, Bartosz",12-Jul-92,12,July,1992,30,DF,Poland,46,0,Sampdoria,Italian Serie A,Italy
278,Sebastian,Szymanski,"Szymanski, Sebastian",10-May-99,10,May,1999,23,MF,Poland,18,1,Feyenoord,Holland Eredivisie,Netherlands
279,Piotr,Zielinski,"Zielinski, Piotr",20-May-94,20,May,1994,28,MF,Poland,74,9,Napoli,Italian Serie A,Italy
280,Nicola,Zalewski,"Zalewski, Nicola",23-Jan-02,23,January,2002,20,MF,Poland,7,0,Roma,Italian Serie A,Italy
281,Kamil,Grabara,"Grabara, Kamil",8-Jan-99,8,January,1999,23,GK,Poland,1,0,Copenhagen,Danish Superliga,Denmark
282,Krzysztof,Piatek,"Piatek, Krzysztof",1-Jul-95,1,July,1995,27,FW,Poland,25,11,Salernitana,Italian Serie A,Italy
283,Przemyslaw,Frankowski,"Frankowski, Przemyslaw",12-Apr-95,12,April,1995,27,MF,Poland,26,1,Lens,French Ligue 1,France
284,Robert,Gumny,"Gumny, Robert",4-Jun-98,4,June,1998,24,DF,Poland,5,0,FC Augsburg,German 1. Bundesliga,Germany
285,Michal,Skoras,"Skoras, Michal",15-Feb-00,15,February,2000,22,MF,Poland,1,0,Lech Poznań,Polish T-Mobile Ekstraklasa,Poland
286,Mohammed,Rubaie,"Rubaie, Mohammed",14-Aug-97,14,August,1997,25,GK,Saudi Arabia,7,0,Al-Ahli,Saudi Abdul L. Jameel League,Saudi Arabia
287,Sultan,Ghannam,"Ghannam, Sultan",6-May-94,6,May,1994,28,DF,Saudi Arabia,24,0,Al-Nassr,Saudi Abdul L. Jameel League,Saudi Arabia
288,Abdullah,Madu,"Madu, Abdullah",15-Jul-93,15,July,1993,29,DF,Saudi Arabia,15,0,Al-Nassr,Saudi Abdul L. Jameel League,Saudi Arabia
289,Abdulelah,Amri,"Amri, Abdulelah",15-Jan-97,15,January,1997,25,DF,Saudi Arabia,20,1,Al-Nassr,Saudi Abdul L. Jameel League,Saudi Arabia
290,Ali,Bulaihi,"Bulaihi, Ali",21-Nov-89,21,November,1989,33,DF,Saudi Arabia,37,0,Al-Hilal,Saudi Abdul L. Jameel League,Saudi Arabia
291,Mohammed,Breik,"Breik, Mohammed",15-Sep-92,15,September,1992,30,DF,Saudi Arabia,40,1,Al-Hilal,Saudi Abdul L. Jameel League,Saudi Arabia
292,Salman,Faraj,"Faraj, Salman",1-Aug-89,1,August,1989,33,MF,Saudi Arabia,70,8,Al-Hilal,Saudi Abdul L. Jameel League,Saudi Arabia
293,Abdulellah,Malki,"Malki, Abdulellah",11-Oct-94,11,October,1994,28,MF,Saudi Arabia,27,0,Al-Hilal,Saudi Abdul L. Jameel League,Saudi Arabia
294,Firas,Buraikan,"Buraikan, Firas",14-May-00,14,May,2000,22,FW,Saudi Arabia,26,6,Al-Fateh,Saudi Abdul L. Jameel League,Saudi Arabia
295,Salem,Dawsari,"Dawsari, Salem",19-Aug-91,19,August,1991,31,FW,Saudi Arabia,71,17,Al-Hilal,Saudi Abdul L. Jameel League,Saudi Arabia
296,Saleh,Shehri,"Shehri, Saleh",1-Nov-93,1,November,1993,29,FW,Saudi Arabia,20,10,Al-Hilal,Saudi Abdul L. Jameel League,Saudi Arabia
297,Saud,Abdulhamid,"Abdulhamid, Saud",18-Jul-99,18,July,1999,23,DF,Saudi Arabia,23,1,Al-Hilal,Saudi Abdul L. Jameel League,Saudi Arabia
298,Yasser,Shahrani,"Shahrani, Yasser",25-May-92,25,May,1992,30,DF,Saudi Arabia,72,2,Al-Hilal,Saudi Abdul L. Jameel League,Saudi Arabia
299,Abdullah,Otayf,"Otayf, Abdullah",3-Aug-92,3,August,1992,30,MF,Saudi Arabia,45,1,Al-Hilal,Saudi Abdul L. Jameel League,Saudi Arabia
300,Ali,Hassan,"Hassan, Ali",4-Mar-97,4,March,1997,25,MF,Saudi Arabia,13,1,Al-Nassr,Saudi Abdul L. Jameel League,Saudi Arabia
301,Sami,Najei,"Najei, Sami",7-Feb-97,7,February,1997,25,MF,Saudi Arabia,17,2,Al-Nassr,Saudi Abdul L. Jameel League,Saudi Arabia
302,Hassan,Tambakti,"Tambakti, Hassan",9-Feb-99,9,February,1999,23,DF,Saudi Arabia,19,0,Al-Shabab,Saudi Abdul L. Jameel League,Saudi Arabia
303,Nawaf,Abed,"Abed, Nawaf",26-Jan-90,26,January,1990,32,MF,Saudi Arabia,55,8,Al-Shabab,Saudi Abdul L. Jameel League,Saudi Arabia
304,Hattan,Bahebri,"Bahebri, Hattan",16-Jul-92,16,July,1992,30,FW,Saudi Arabia,41,4,Al-Shabab,Saudi Abdul L. Jameel League,Saudi Arabia
305,Abdulrahman,Aboud,"Aboud, Abdulrahman",1-Jun-95,1,June,1995,27,FW,Saudi Arabia,3,0,Al-Ittihad,Saudi Abdul L. Jameel League,Saudi Arabia
306,Mohammed,Owais,"Owais, Mohammed",10-Oct-91,10,October,1991,31,GK,Saudi Arabia,42,0,Al-Hilal,Saudi Abdul L. Jameel League,Saudi Arabia
307,Nawaf,Aqidi,"Aqidi, Nawaf",10-May-00,10,May,2000,22,GK,Saudi Arabia,0,0,Al-Nassr,Saudi Abdul L. Jameel League,Saudi Arabia
308,Mohamed,Kanno,"Kanno, Mohamed",22-Sep-94,22,September,1994,28,MF,Saudi Arabia,38,1,Al-Hilal,Saudi Abdul L. Jameel League,Saudi Arabia
309,Nasser,Dawsari,"Dawsari, Nasser",19-Dec-98,19,December,1998,23,MF,Saudi Arabia,10,0,Al-Hilal,Saudi Abdul L. Jameel League,Saudi Arabia
310,Haitham,Asiri,"Asiri, Haitham",25-Mar-01,25,March,2001,21,FW,Saudi Arabia,8,1,Al-Ahli,Saudi Abdul L. Jameel League,Saudi Arabia
311,Riyadh,Sharahili,"Sharahili, Riyadh",28-Apr-93,28,April,1993,29,MF,Saudi Arabia,5,0,Abha,Saudi Abdul L. Jameel League,Saudi Arabia
312,Mathew,Ryan,"Ryan, Mathew",8-Apr-92,8,April,1992,30,GK,Australia,75,0,Copenhagen,Danish Superliga,Denmark
313,Milos,Degenek,"Degenek, Milos",28-Apr-94,28,April,1994,28,DF,Australia,38,1,Columbus Crew,USA Major League Soccer,United States
314,Nathaniel,Atkinson,"Atkinson, Nathaniel",13-Jun-99,13,June,1999,23,DF,Australia,5,0,Heart of Midlothian,Scottish Premiership,Scotland
315,Kye,Rowles,"Rowles, Kye",24-Jun-98,24,June,1998,24,DF,Australia,3,0,Heart of Midlothian,Scottish Premiership,Scotland
316,Fran,Karacic,"Karacic, Fran",12-May-96,12,May,1996,26,DF,Australia,11,1,Brescia,Italian Seria A,Italy
317,Marco,Tilio,"Tilio, Marco",23-Aug-01,23,August,2001,21,FW,Australia,5,0,Melbourne City,Australian Hyundai A-League,Australia
318,Mathew,Leckie,"Leckie, Mathew",4-Feb-91,4,February,1991,31,FW,Australia,73,13,Melbourne City,Australian Hyundai A-League,Australia
319,Bailey,Wright,"Wright, Bailey",28-Jul-92,28,July,1992,30,DF,Australia,27,2,Sunderland,English League One,England
320,Jamie,Maclaren,"Maclaren, Jamie",29-Jul-93,29,July,1993,29,FW,Australia,26,8,Melbourne City,Australian Hyundai A-League,Australia
321,Ajdin,Hrustic,"Hrustic, Ajdin",5-Jul-96,5,July,1996,26,MF,Australia,20,3,Hellas Verona,Italian Serie A,Italy
322,Awer,Mabil,"Mabil, Awer",15-Sep-95,15,September,1995,27,FW,Australia,29,8,Cádiz,Spanish Primera Division,Spain
323,Andrew,Redmayne,"Redmayne, Andrew",13-Jan-89,13,January,1989,33,GK,Australia,4,0,Sydney FC,Australian Hyundai A-League,Australia
324,Aaron,Mooy,"Mooy, Aaron",15-Sep-90,15,September,1990,32,MF,Australia,53,7,Celtic,Scottish Premiership,Scotland
325,Riley,Mcgree,"Mcgree, Riley",2-Nov-98,2,November,1998,24,MF,Australia,11,1,Middlesbrough,English League Championship,England
326,Mitchell,Duke,"Duke, Mitchell",18-Jan-91,18,January,1991,31,FW,Australia,21,8,Fagiano Okayama,J2 League,Japan
327,Aziz,Behich,"Behich, Aziz",16-Dec-90,16,December,1990,31,DF,Australia,53,2,Dundee United,Scottish Premiership,Scotland
328,Cameron,Devlin,"Devlin, Cameron",7-Jun-98,7,June,1998,24,MF,Australia,1,0,Heart of Midlothian,Scottish Premiership,Scotland
329,Danny,Vukovic,"Vukovic, Danny",27-Mar-85,27,March,1985,37,GK,Australia,4,0,Central Coast Mariners,Australian Hyundai A-League,Australia
330,Harry,Souttar,"Souttar, Harry",22-Oct-98,22,October,1998,24,DF,Australia,10,6,Stoke City,English League Championship,England
331,Thomas,Deng,"Deng, Thomas",20-Mar-97,20,March,1997,25,DF,Australia,2,0,Albirex Niigata,J2 League,Japan
332,Garang,Kuol,"Kuol, Garang",15-Sep-04,15,September,2004,18,FW,Australia,1,0,Central Coast Mariners,Australian Hyundai A-League,Australia
333,Jackson,Irvine,"Irvine, Jackson",7-Mar-93,7,March,1993,29,MF,Australia,49,7,FC St. Pauli,German 2. Bundesliga,Germany
334,Craig,Goodwin,"Goodwin, Craig",16-Dec-91,16,December,1991,30,FW,Australia,10,1,Adelaide United,Australian Hyundai A-League,Australia
335,Joel,King,"King, Joel",30-Oct-00,30,October,2000,22,DF,Australia,4,0,OB,Belgian Jupiler Pro League,Denmark
336,Jason,Cummings,"Cummings, Jason",1-Aug-95,1,August,1995,27,FW,Australia,1,1,Central Coast Mariners,Australian Hyundai A-League,Australia
337,Keanu,Baccus,"Baccus, Keanu",7-Jun-98,7,June,1998,24,MF,Australia,1,0,St Mirren,Scottish Premiership,Scotland
338,Kasper,Schmeichel,"Schmeichel, Kasper",5-Nov-86,5,November,1986,36,GK,Denmark,86,0,Nice,French Ligue 1,France
339,Joachim,Andersen,"Andersen, Joachim",31-May-96,31,May,1996,26,DF,Denmark,19,0,Crystal Palace,English Premier League,England
340,Victor,Nelsson,"Nelsson, Victor",14-Oct-98,14,October,1998,24,DF,Denmark,7,0,Galatasaray,Turkish Süper Lig,Turkey
341,Simon,Kjaer,"Kjaer, Simon",26-Mar-89,26,March,1989,33,DF,Denmark,121,5,Milan,Italian Serie A,Italy
342,Joakim,Maehle,"Maehle, Joakim",20-May-97,20,May,1997,25,DF,Denmark,31,9,Atalanta,Italian Serie A,Italy
343,Andreas,Christensen,"Christensen, Andreas",10-Apr-96,10,April,1996,26,DF,Denmark,58,2,Barcelona,Spain Primera Division,Spain
344,Mathias,Jensen,"Jensen, Mathias",1-Jan-96,1,January,1996,26,MF,Denmark,20,1,Brentford,English Premier League,England
345,Thomas,Delaney,"Delaney, Thomas",3-Sep-91,3,September,1991,31,MF,Denmark,71,7,Sevilla,Spain Primera Division,Spain
346,Martin,Braithwaite,"Braithwaite, Martin",5-Jun-91,5,June,1991,31,FW,Denmark,62,10,Espanyol,Spain Primera Division,Spain
347,Christian,Eriksen,"Eriksen, Christian",14-Feb-92,14,February,1992,30,MF,Denmark,117,39,Manchester United,English Premier League,England
348,Andreas,Skov Olsen,"Skov Olsen, Andreas",29-Dec-99,29,December,1999,22,MF,Denmark,23,8,Club Brugge,Belgian Jupiler Pro League,Belgium
349,Kasper,Dolberg,"Dolberg, Kasper",6-Oct-97,6,October,1997,25,FW,Denmark,37,11,Sevilla,Spain Primera Division,Spain
350,Rasmus,Kristensen,"Kristensen, Rasmus",11-Jul-97,11,July,1997,25,DF,Denmark,10,0,Leeds United,English Premier League,England
351,Mikkel,Damsgaard,"Damsgaard, Mikkel",3-Jul-00,3,July,2000,22,MF,Denmark,18,4,Brentford,English Premier League,England
352,Christian,Norgaard,"Norgaard, Christian",10-Mar-94,10,March,1994,28,MF,Denmark,17,1,Brentford,English Premier League,England
353,Oliver,Christensen,"Christensen, Oliver",22-Mar-99,22,March,1999,23,GK,Denmark,1,0,Hertha BSC,German 1. Bundesliga,Germany
354,Jens,Stryger Larsen,"Stryger Larsen, Jens",21-Feb-91,21,February,1991,31,DF,Denmark,49,3,Trabzonspor,Turkish Süper Lig,Turkey
355,Daniel,Wass,"Wass, Daniel",31-May-89,31,May,1989,33,DF,Denmark,44,1,Brøndby,Danish Superliga,Denmark
356,Jonas,Wind,"Wind, Jonas",7-Feb-99,7,February,1999,23,FW,Denmark,15,5,VfL Wolfsburg,German 1. Bundesliga,Germany
357,Yussuf,Poulsen,"Poulsen, Yussuf",15-Jun-94,15,June,1994,28,FW,Denmark,68,11,RB Leipzig,German 1. Bundesliga,Germany
358,Andreas,Cornelius,"Cornelius, Andreas",16-Mar-93,16,March,1993,29,FW,Denmark,41,9,Copenhagen,Danish Superliga,Denmark
359,Frederik,Ronnow,"Ronnow, Frederik",4-Aug-92,4,August,1992,30,GK,Denmark,8,0,Union Berlin,German 1. Bundesliga,Germany
360,Pierre-Emile,Hojbjerg,"Hojbjerg, Pierre-Emile",5-Aug-95,5,August,1995,27,MF,Denmark,60,5,Tottenham Hotspur,English Premier League,England
361,Robert,Skov,"Skov, Robert",20-May-96,20,May,1996,26,MF,Denmark,11,5,1899 Hoffenheim,German 1. Bundesliga,Germany
362,Jesper,Lindstrom,"Lindstrom, Jesper",29-Feb-00,29,February,2000,22,MF,Denmark,6,1,Eintracht Frankfurt,German 1. Bundesliga,Germany
363,Alexander,Bah,"Bah, Alexander",9-Dec-97,9,December,1997,24,DF,Denmark,4,1,Benfica,Portuguese Liga ZON SAGRES,Portugal
364,Hugo,Lloris,"Lloris, Hugo",26-Dec-86,26,December,1986,35,GK,France,139,0,Tottenham Hotspur,English Premier League,England
365,Benjamin,Pavard,"Pavard, Benjamin",28-Mar-96,28,March,1996,26,DF,France,46,2,Bayern Munich,German 1. Bundesliga,Germany
366,Axel,Disasi,"Disasi, Axel",11-Mar-98,11,March,1998,24,DF,France,0,0,Monaco,French Ligue 1,France
367,Raphael,Varane,"Varane, Raphael",25-Apr-93,25,April,1993,29,DF,France,87,5,Manchester United,English Premier League,England
368,Jules,Kounde,"Kounde, Jules",12-Nov-98,12,November,1998,24,DF,France,12,0,Barcelona,Spain Primera Division,Spain
369,Matteo,Guendouzi,"Guendouzi, Matteo",14-Apr-99,14,April,1999,23,MF,France,6,1,Marseille,French Ligue 1,France
370,Antoine,Griezmann,"Griezmann, Antoine",21-Mar-91,21,March,1991,31,FW,France,110,42,Atlético Madrid,Spain Primera Division,Spain
371,Aurelien,Tchouameni,"Tchouameni, Aurelien",27-Jan-00,27,January,2000,22,MF,France,14,1,Real Madrid,Spain Primera Division,Spain
372,Olivier,Giroud,"Giroud, Olivier",30-Sep-86,30,September,1986,36,FW,France,114,49,Milan,Italian Serie A,Italy
373,Kylian,Mbappe,"Mbappe, Kylian",20-Dec-98,20,December,1998,23,FW,France,59,28,Paris Saint-Germain,French Ligue 1,France
374,Ousmane,Dembele,"Dembele, Ousmane",15-May-97,15,May,1997,25,FW,France,28,4,Barcelona,Spain Primera Division,Spain
375,Randal,Kolo Muani,"Kolo Muani, Randal",5-Dec-98,5,December,1998,23,FW,France,2,0,Eintracht Frankfurt,German 1. Bundesliga,Germany
376,Youssouf,Fofana,"Fofana, Youssouf",10-Jan-99,10,January,1999,23,MF,France,2,0,Monaco,French Ligue 1,France
377,Adrien,Rabiot,"Rabiot, Adrien",3-Apr-95,3,April,1995,27,MF,France,29,2,Juventus,Italian Serie A,Italy
378,Jordan,Veretout,"Veretout, Jordan",1-Mar-93,1,March,1993,29,MF,France,5,0,Marseille,French Ligue 1,France
379,Steve,Mandanda,"Mandanda, Steve",28-Mar-85,28,March,1985,37,GK,France,34,0,Rennes,French Ligue 2,France
380,William,Saliba,"Saliba, William",24-Mar-01,24,March,2001,21,DF,France,7,0,Arsenal,English Premier League,England
381,Dayot,Upamecano,"Upamecano, Dayot",27-Oct-98,27,October,1998,24,DF,France,7,1,Bayern Munich,German 1. Bundesliga,Germany
382,Karim,Benzema,"Benzema, Karim",19-Dec-87,19,December,1987,34,FW,France,97,37,Real Madrid,Spain Primera Division,Spain
